Program,Function,NumWorkers,CPU%,Mem,IO
A,cpu,3,0,0,0.00
A,mem,3,0,0,0.02
A,io,3,0,0,21.91
A,cpu,4,0,0,0.01
A,mem,4,0,0,0.03
A,io,4,0,0,35.15
A,cpu,5,0,0,0.01
A,mem,5,0,0,0.03
A,io,5,0,0,47.72
B,cpu,3,0,0,0.00
B,mem,3,0,0,0.02
B,io,3,.21,0,23.55
B,cpu,4,0,0,0.00
B,mem,4,0,0,0.03
B,io,4,.36,0,34.41
B,cpu,5,0,0,0.00
B,mem,5,0,0,0.03
B,io,5,.28,0,41.53
B,cpu,6,0,0,0.01
B,mem,6,0,0,0.03
B,io,6,.28,0,3643.68
B,cpu,7,0,0,0.00
B,mem,7,0,0,0.03
B,io,7,.19,0,62.73
B,cpu,8,0,0,0.00
B,mem,8,0,0,0.05
B,io,8,.28,0,74.98
